# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 7500 6.39e-01 4.36e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 15000 2.89e+00 7.43e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 22500 3.98e+01 4.46e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 30000 6.80e+01 7.12e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 37500 7.92e+01 8.18e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 45000 8.39e+01 8.62e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 52500 8.71e+01 8.94e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 60000 9.09e+01 9.34e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 67500 9.19e+01 9.44e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 75000 8.74e+01 8.97e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 82500 8.94e+01 9.19e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 90000 8.92e+01 9.06e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 97500 8.92e+01 9.13e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 105000 9.17e+01 9.42e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 112500 9.07e+01 9.29e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 120000 9.20e+01 9.45e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 127500 8.84e+01 9.13e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 135000 9.14e+01 9.53e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 142500 9.19e+01 9.52e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 150000 9.54e+01 9.90e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 7500 6.77e-01 4.31e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 15000 2.86e+00 7.42e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 22500 3.58e+01 4.01e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 30000 6.63e+01 6.93e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 37500 7.95e+01 8.22e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 45000 8.68e+01 8.90e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 52500 8.19e+01 8.42e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 60000 9.00e+01 9.21e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 67500 9.36e+01 9.54e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 75000 9.09e+01 9.33e+01
