# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 1000 4.44e-01 4.03e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 2000 3.80e+00 7.76e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 3000 1.22e+01 1.66e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 4000 2.10e+01 2.55e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 5000 3.08e+01 3.52e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 6000 3.92e+01 4.31e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 7000 4.89e+01 5.24e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 8000 5.87e+01 6.19e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 9000 6.85e+01 7.14e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 10000 7.77e+01 8.04e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 11000 8.73e+01 8.97e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 12000 8.95e+01 9.14e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 13000 9.11e+01 9.25e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 14000 8.94e+01 9.07e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 15000 9.08e+01 9.20e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 16000 8.94e+01 9.05e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 17000 8.89e+01 8.99e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 18000 8.81e+01 8.91e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 19000 8.58e+01 8.73e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 0 20000 8.54e+01 8.70e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 1000 4.79e-01 3.85e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 2000 3.63e+00 7.19e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 3000 1.19e+01 1.48e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 4000 2.22e+01 2.49e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 5000 3.16e+01 3.41e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 6000 4.13e+01 4.36e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 7000 5.08e+01 5.28e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 8000 6.03e+01 6.21e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 9000 6.93e+01 7.08e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 10000 7.88e+01 8.01e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 11000 8.78e+01 8.89e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 12000 8.74e+01 8.85e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 13000 8.80e+01 8.92e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 14000 8.91e+01 9.01e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 15000 8.82e+01 8.92e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 16000 9.06e+01 9.16e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 17000 8.99e+01 9.13e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 18000 8.98e+01 9.12e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 19000 9.08e+01 9.22e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 20000 9.07e+01 9.21e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 1000 4.98e-01 4.21e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 2000 3.72e+00 7.58e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 3000 1.27e+01 1.62e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 4000 2.24e+01 2.57e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 5000 3.18e+01 3.49e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 6000 4.07e+01 4.37e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 7000 5.07e+01 5.33e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 8000 6.02e+01 6.24e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 9000 6.90e+01 7.10e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 10000 7.86e+01 8.02e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 11000 8.62e+01 8.76e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 12000 8.64e+01 8.76e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 13000 8.77e+01 8.90e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 14000 8.76e+01 8.88e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 15000 8.75e+01 8.89e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 16000 8.66e+01 8.79e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 17000 8.76e+01 8.89e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 18000 8.89e+01 9.01e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 19000 8.88e+01 9.00e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 20000 8.76e+01 8.88e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 1000 4.33e-01 3.91e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 2000 3.72e+00 7.87e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 3000 1.23e+01 1.62e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 4000 2.24e+01 2.60e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 5000 3.11e+01 3.46e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 6000 4.08e+01 4.41e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 7000 4.96e+01 5.25e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 8000 5.96e+01 6.24e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 9000 6.85e+01 7.06e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 10000 7.83e+01 8.02e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 11000 8.15e+01 8.32e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 12000 8.08e+01 8.26e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 13000 8.19e+01 8.36e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 14000 8.19e+01 8.35e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 15000 8.24e+01 8.40e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 16000 8.25e+01 8.43e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 17000 8.30e+01 8.49e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 18000 8.32e+01 8.52e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 19000 8.54e+01 8.74e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 20000 8.49e+01 8.69e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 1000 5.64e-01 4.39e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 2000 3.71e+00 7.60e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 3000 1.22e+01 1.57e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 4000 2.19e+01 2.52e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 5000 3.21e+01 3.50e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 6000 4.07e+01 4.32e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 7000 5.06e+01 5.29e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 8000 5.98e+01 6.18e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 9000 6.99e+01 7.17e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 10000 7.91e+01 8.05e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 11000 8.83e+01 8.93e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 12000 8.90e+01 8.99e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 13000 8.85e+01 8.94e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 14000 8.98e+01 9.08e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 15000 8.76e+01 8.86e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 16000 8.58e+01 8.68e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 17000 8.57e+01 8.67e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 18000 8.61e+01 8.71e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 19000 8.62e+01 8.72e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 20000 8.54e+01 8.65e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 1000 6.10e-01 4.48e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 2000 3.17e+00 6.99e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 3000 1.24e+01 1.61e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 4000 2.13e+01 2.46e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 5000 3.06e+01 3.36e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 6000 4.01e+01 4.29e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 7000 4.95e+01 5.19e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 8000 5.94e+01 6.14e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 9000 6.82e+01 6.98e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 10000 7.86e+01 8.00e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 11000 8.42e+01 8.55e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 12000 8.60e+01 8.73e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 13000 8.64e+01 8.76e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 14000 8.76e+01 8.87e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 15000 8.60e+01 8.71e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 16000 8.63e+01 8.75e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 17000 8.54e+01 8.70e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 18000 8.75e+01 8.90e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 19000 8.70e+01 8.85e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 20000 8.77e+01 8.92e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 1000 5.61e-01 4.18e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 2000 4.04e+00 7.22e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 3000 1.34e+01 1.64e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 4000 2.28e+01 2.56e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 5000 3.20e+01 3.44e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 6000 4.15e+01 4.37e+01
